Sample	Pop	Type	Genotypes	Phmi01		Phmi02		Phmi03		Phmi05		Phmi07		Phmi08		Phmi09		Phmi10		Phmi13		Phmi14		Phmi17		Phmi20		Phmi23		Phmi24	
W218	Hokkaido	Wild	G014	188188	201201	109109	104104	128128	139139	146146	142142	157157	160160	220220	288288	307307	313313
W242	Hokkaido	Wild	G003	188191	203203	106112	104104	128135	139141	146146	142142	151157	154154	218220	284288	307307	313313
W243	Hokkaido	Wild	G038	188191	201205	106112	104104	122127	135135	146148	142142	154157	160166	218220	284288	307307	313317
W171	Aomori	Wild	G030	188188	201201	106109	104104	134135	135141	146146	133133	160160	154170	213213	284284	307310	313315
W172	Aomori	Wild	G012	188191	201205	106112	104106	126128	135139	146146	142142	157160	154154	218218	284288	307310	313315
W173	Aomori	Wild	G039	188188	203205	106109	104104	128128	135135	146146	142142	151160	154154	218218	286288	307310	313313
W174	Aomori	Wild	G034	188191	201203	106112	102104	128134	135139	148148	142142	151154	163169	213213	284284	307307	313313
W192	Aomori	Wild	G025	188191	201201	106109	104104	126128	135139	146148	142142	151157	160166	213221	288292	307307	313313
W216	Iwate	Wild	G004	188188	201201	109109	104104	128128	135135	146146	145145	160160	142142	220220	288288	307307	309309
W217	Iwate	Wild	G006	188188	201201	112112	104104	127127	135135	146146	145145	175175	160160	220220	288288	307307	313313
W121	Akita	Wild	G033	188188	201201	106106	102102	159159	141141	148148	142142	166166	160160	218218	284284	307307	313313
W112	Yamagata	Wild	G026	188191	201203	106109	104104	128128	139139	146146	142142	151157	154160	213219	284284	307310	313313
W111	Yamagata	Wild	G046	188191	203203	106106	104104	126128	135135	146148	142142	154160	154166	218230	284288	307307	313313
W248	Yamagata	Wild	G049	188188	203203	112112	104104	128128	135135	146146	145145	154157	154154	218230	284284	307307	321321
W255	Yamagata	Wild	G017	191191	201201	112112	104104	126126	135135	146146	142142	157157	163163	234234	284284	307307	313313
W257	Yamagata	Wild	G029	188188	199203	109112	104104	126135	135141	146148	145145	151157	154154	218225	288288	307307	315315
W262	Yamagata	Wild	G050	188188	201201	106109	104104	128128	135141	148148	145145	154154	163163	218238	284284	307307	313313
W202	Yamagata	Wild	G027	188188	201201	109112	106106	128128	135135	146148	142142	151154	154163	213218	284284	307307	313315
W226	Niigata	Wild	G010	188191	201203	106106	102104	126128	135141	146152	142145	157163	160160	213234	284284	307307	313313
W222	Niigata	Wild	G022	188188	201203	109112	104104	128128	135135	146146	142142	154160	154183	220221	284284	307307	313313
W224	Niigata	Wild	G048	188188	201201	112112	104104	159159	139139	154154	142142	154154	154154	218218	284284	304304	313313
W290	Niigata	Wild	G040	188188	205205	109109	104104	135135	139139	146146	142142	151151	160160	219219	288288	304304	313313
W291	Niigata	Wild	G042	188188	201201	106109	104110	126128	135139	146146	145145	157157	160166	230234	284288	307310	313313
W114	Fukushima	Wild	G051	188188	199201	109115	104104	127128	139139	146146	142145	154157	160163	218218	284288	307307	313313
W012	Fukushima	Wild	G023	188191	201205	109112	104106	122128	139143	146146	142142	151157	154160	227227	284284	310310	309313
W013	Fukushima	Wild	G013	188188	201201	109109	104104	128128	141141	146146	133133	151151	163163	213213	288288	307307	313313
W022	Fukushima	Wild	G018	188188	201205	106112	104104	128128	135141	146150	142145	157160	154163	218232	288288	307310	313313
W015	Fukushima	Wild	G019	188191	203203	109115	104104	127128	135139	146148	142142	157160	154166	218234	284290	307307	313313
W018	Fukushima	Wild	G037	188188	201201	112112	106106	128128	139139	146146	142142	157157	163163	218218	284284	307307	313313
W017	Fukushima	Wild	G041	185185	201201	106106	104104	128128	135135	146146	142142	151151	154154	229229	288288	310310	311311
W294	Fukushima	Wild	G020	188188	201201	109112	104110	128128	135139	146148	142145	157157	154160	218220	284284	307307	313313
W237	Fukushima	Wild	G043	188188	201201	112112	104104	127127	141141	146146	142142	157157	154154	217217	284284	310310	313313
W270	Fukushima	Wild	G044	188194	201201	109112	104106	128128	135141	146148	142142	154157	154154	220231	284284	310310	313313
W199	Fukushima	Wild	G047	185185	203203	109109	104104	135135	135135	146146	145145	157157	154154	220220	288288	307307	315315
W188	Toyama	Wild	G031	188188	201203	109109	104106	126128	139139	146146	142142	157160	154163	219221	286286	307307	313317
W116	Fukui	Wild	G028	188188	201201	106106	104110	128134	139139	146146	145145	154157	154160	220220	283284	310313	313313
W115	Fukui	Wild	G036	188188	201201	109109	104104	126126	139139	146146	142142	157157	160160	222222	288288	304304	313313
W288	Nagano	Wild	G001	188188	201201	106112	104104	127128	141141	146148	142142	154160	154154	213218	284284	307307	313317
W283	Nagano	Wild	G002	188188	201203	109109	104106	128135	135141	146148	142142	160160	160163	218220	284290	307307	313313
W287	Nagano	Wild	G005	188188	201201	109109	104104	120120	139139	150150	139139	154154	160160	229229	288288	307307	313313
W106	Nagano	Wild	G009	188188	199201	109112	104104	128159	139139	148148	142142	154163	154166	213218	284288	307307	313313
W107	Nagano	Wild	G016	188188	201201	106112	104104	122128	135141	146150	142142	151157	160163	213221	288288	310310	317317
W108	Nagano	Wild	G032	188188	201203	109112	104106	135159	135139	146146	142142	154157	160160	213218	284284	307310	313317
W105	Nagano	Wild	G045	188188	201207	106106	104104	122135	135141	148148	142145	151154	154160	221221	286288	307307	313313
W189	Tottori	Wild	G021	188188	205205	106106	104104	125125	139139	148148	142142	157157	154154	213213	284284	307307	313313
W190	Tottori	Wild	G008	188188	201201	106106	104104	128128	135135	150150	142142	154154	160160	218218	284284	313313	315315
W205	Kochi	Wild	G000	188188	201203	109109	104106	128134	135139	146146	142142	151151	154163	218231	282286	307307	311311
W204	Kochi	Wild	G011	188188	203203	109109	104104	134134	135135	146146	142142	151151	163163	231231	282282	286286	311311
WH01	Yamagata	Wild	H01	188191	201205	109109	104104	125135	139141	146146	142142	151157	160166	218222	284284	307310	313313
WH02	Yamagata	Wild	H02	185188	201201	109109	104104	127127	139143	146146	142142	157160	154163	218218	284284	307307	313313
F27_501-8_N104	Cultivar	Cultivar	CG1	188188	201201	109109	104104	128128	139139	146146	142142	157157	154154	222222	284284	307307	313313
N006	Cultivar	Cultivar	CG2	188188	201201	109109	104104	128128	139139	146146	142142	160160	154154	220220	284284	307307	313313
N007_N008_C02_C06_C07_C08_C09	Cultivar	Cultivar	CG3	188188	201201	109109	104104	128128	139141	146146	142142	160160	154154	220222	284284	307307	313313
N009	Cultivar	Cultivar	CG4	188188	201201	109109	104104	128128	139141	146146	142142	160160	154166	220220	284284	307310	313313
N123	Cultivar	Cultivar	CG5	188188	201201	109109	104104	128128	139141	146146	142142	157160	154154	222222	284284	307307	313313
509-7_N127	Cultivar	Cultivar	CG6	188188	201201	109109	104104	128128	139141	146146	142142	157160	154166	220222	284284	307310	313313
