ID,Category,Source,MLG,Phmi01A,Phmi01B,Phmi02A,Phmi02B,Phmi03A,Phmi03B,Phmi05A,Phmi05B,Phmi07A,Phmi07B,Phmi08A,Phmi08B,Phmi09A,Phmi09B,Phmi10A,Phmi10B,Phmi13A,Phmi13B,Phmi14A,Phmi14B,Phmi17A,Phmi17B,Phmi20A,Phmi20B,Phmi23A,Phmi23B,Phmi24A,Phmi24B
022,Wild,Fukushima,G18,88,88,101,105,106,112,104,104,128,128,135,141,146,150,142,145,157,160,154,163,218,232,288,288,307,310,313,313
015,Wild,Fukushima,G19,88,91,103,103,109,115,104,104,127,128,135,139,146,148,142,142,157,160,154,166,218,234,284,290,307,307,313,313
020,Wild,Fukushima,G19,88,91,103,103,109,115,104,104,127,128,135,139,146,148,142,142,157,160,154,166,218,234,284,290,307,307,313,313
021,Wild,Fukushima,G19,88,91,103,103,109,115,104,104,127,128,135,139,146,148,142,142,157,160,154,166,218,234,284,290,307,307,313,313
017,Wild,Fukushima,G41,85,85,101,101,106,106,104,104,128,128,135,135,146,146,142,142,151,151,154,154,229,229,288,288,310,310,311,311
018,Wild,Fukushima,G37,88,88,101,101,112,112,106,106,128,128,139,139,146,146,142,142,157,157,163,163,218,218,284,284,307,307,313,313
294,Wild,Fukushima,G20,88,88,101,101,109,112,104,110,128,128,135,139,146,148,142,145,157,157,154,160,218,220,284,284,307,307,313,313
237,Wild,Fukushima,G43,88,88,101,101,112,112,104,104,127,127,141,141,146,146,142,142,157,157,154,154,217,217,284,284,310,310,313,313
270,Wild,Fukushima,G44,88,94,101,101,109,112,104,106,128,128,135,141,146,148,142,142,154,157,154,154,220,231,284,284,310,310,313,313
199,Wild,Fukushima,G47,85,85,103,103,109,109,104,104,135,135,135,135,146,146,145,145,157,157,154,154,220,220,288,288,307,307,315,315
188,Wild,Toyama,G31,88,88,101,103,109,109,104,106,126,128,139,139,146,146,142,142,157,160,154,163,219,221,286,286,307,307,313,317
116,Wild,Fukui,G28,88,88,101,101,106,106,104,110,128,134,139,139,146,146,145,145,154,157,154,160,220,220,283,284,310,313,313,313
117,Wild,Fukui,G28,88,88,101,101,106,106,104,110,128,134,139,139,146,146,145,145,154,157,154,160,220,220,283,284,310,313,313,313
118,Wild,Fukui,G28,88,88,101,101,106,106,104,110,128,134,139,139,146,146,145,145,154,157,154,160,220,220,283,284,310,313,313,313
119,Wild,Fukui,G28,88,88,101,101,106,106,104,110,128,134,139,139,146,146,145,145,154,157,154,160,220,220,283,284,310,313,313,313
115,Wild,Fukui,G36,88,88,101,101,109,109,104,104,126,126,139,139,146,146,142,142,157,157,160,160,222,222,288,288,304,304,313,313
283,Wild,Nagano,G02,88,88,101,103,109,109,104,106,128,135,135,141,146,148,142,142,160,160,160,163,218,220,284,290,307,307,313,313
284,Wild,Nagano,G02,88,88,101,103,109,109,104,106,128,135,135,141,146,148,142,142,160,160,160,163,218,220,284,290,307,307,313,313
287,Wild,Nagano,G05,88,88,101,101,109,109,104,104,120,120,139,139,150,150,139,139,154,154,160,160,229,229,288,288,307,307,313,313
288,Wild,Nagano,G01,88,88,101,101,106,112,104,104,127,128,141,141,146,148,142,142,154,160,154,154,213,218,284,284,307,307,313,317
106,Wild,Nagano,G09,88,88,99,101,109,112,104,104,128,159,139,139,148,148,142,142,154,163,154,166,213,218,284,288,307,307,313,313
107,Wild,Nagano,G16,88,88,101,101,106,112,104,104,122,128,135,141,146,150,142,142,151,157,160,163,213,221,288,288,310,310,317,317
108,Wild,Nagano,G32,88,88,101,103,109,112,104,106,135,159,135,139,146,146,142,142,154,157,160,160,213,218,284,284,307,310,313,317
109,Wild,Nagano,G32,88,88,101,103,109,112,104,106,135,159,135,139,146,146,142,142,154,157,160,160,213,218,284,284,307,310,313,317
105,Wild,Nagano,G45,88,88,101,107,106,106,104,104,122,135,135,141,148,148,142,145,151,154,154,160,221,221,286,288,307,307,313,313
189,Wild,Tottori,G21,88,88,105,105,106,106,104,104,125,125,139,139,148,148,142,142,157,157,154,154,213,213,284,284,307,307,313,313
190,Wild,Tottori,G08,88,88,101,101,106,106,104,104,128,128,135,135,150,150,142,142,154,154,160,160,218,218,284,284,313,313,315,315
204,Wild,Kochi,G11,88,88,103,103,109,109,104,104,134,134,135,135,146,146,142,142,151,151,163,163,231,231,282,282,286,286,311,311
205,Wild,Kochi,G00,88,88,101,103,109,109,104,106,128,134,135,139,146,146,142,142,151,151,154,163,218,231,282,286,307,307,311,311
209,Wild,Kochi,G00,88,88,101,103,109,109,104,106,128,134,135,139,146,146,142,142,151,151,154,163,218,231,282,286,307,307,311,311
210,Wild,Kochi,G00,88,88,101,103,109,109,104,106,128,134,135,139,146,146,142,142,151,151,154,163,218,231,282,286,307,307,311,311
211,Wild,Kochi,G00,88,88,101,103,109,109,104,106,128,134,135,139,146,146,142,142,151,151,154,163,218,231,282,286,307,307,311,311
F27,Cultivar,Cultivar.sawdust.JPN,CG1,88,88,101,101,109,109,104,104,128,128,139,139,146,146,142,142,157,157,154,154,222,222,284,284,307,307,313,313
Tohoku-N104,Cultivar,Cultivar.sawdust.JPN,CG1,88,88,101,101,109,109,104,104,128,128,139,139,146,146,142,142,157,157,154,154,222,222,284,284,307,307,313,313
KX-N006,Cultivar,Cultivar.sawdust.JPN,CG2,88,88,101,101,109,109,104,104,128,128,139,139,146,146,142,142,160,160,154,154,220,220,284,284,307,307,313,313
KX-N007,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
KX-N008,Cultivar,Cultivar.sawdust.JPN,CG3,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
KX-N009,Cultivar,Cultivar.sawdust.JPN,CG4,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,166,220,220,284,284,307,310,313,313
KX-N010,Cultivar,Cultivar.sawdust.JPN,CG2,88,88,101,101,109,109,104,104,128,128,139,139,146,146,142,142,160,160,154,154,220,220,284,284,307,307,313,313
Tohoku-N123,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
Tohoku-N127,Cultivar,Cultivar.sawdust.JPN,CG6,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,166,220,222,284,284,307,310,313,313
007,Cultivar,Cultivar.sawdust.JPN,CG1,88,88,101,101,109,109,104,104,128,128,139,139,146,146,142,142,157,157,154,154,222,222,284,284,307,307,313,313
008,Cultivar,Cultivar.sawdust.JPN,CG6,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,166,220,222,284,284,307,310,313,313
N103,Cultivar,Cultivar.log.JPN,KG02,94,94,101,103,112,112,104,104,126,128,139,139,146,146,142,142,157,157,163,166,229,229,288,288,307,310,313,313
KX-N109,Cultivar,Cultivar.log.JPN,KG58,88,88,101,101,106,109,104,104,134,134,135,141,146,146,133,133,160,160,154,169,213,213,284,284,307,310,313,315
Mori-13,Cultivar,Cultivar.sawdust.JPN,CG6,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,166,220,222,284,284,307,310,313,313
N245,Cultivar,Cultivar.sawdust.JPN,CG7,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,166,222,222,284,284,307,310,313,313
N258,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
Hokken-N108,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
Hokken-N160,Cultivar,Cultivar.sawdust.JPN,CG6,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,166,220,222,284,284,307,310,313,313
Fukushima-N1,Cultivar,Cultivar.sawdust.JPN,CG8,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,220,222,284,284,307,310,313,313
Fukushima-N2,Cultivar,Cultivar.sawdust.x.wild.JPN,KG42,88,88,101,103,109,109,104,104,128,134,135,141,146,146,142,142,151,157,154,163,222,231,282,282,307,307,311,311
KM-86,Cultivar,Cultivar.log.JPN,KG02,94,94,101,103,112,112,104,104,126,128,139,139,146,146,142,142,157,157,163,166,229,229,288,288,307,310,313,313
KM-88,Cultivar,Cultivar.log.JPN,KG09,88,94,101,103,109,112,104,104,128,132,139,139,146,146,142,145,157,157,154,166,220,229,284,288,307,307,313,313
K10,Cultivar,Cultivar.log.JPN,KG02,94,94,101,103,112,112,104,104,126,128,139,139,146,146,142,142,157,157,163,166,229,229,288,288,307,310,313,313
N133,Cultivar,Cultivar.sawdust.JPN,CG6,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,166,220,222,284,284,307,310,313,313
No137,Cultivar,Cultivar.log.JPN,KG02,94,94,101,103,112,112,104,104,126,128,139,139,146,146,142,142,157,157,163,166,229,229,288,288,307,310,313,313
K25,Cultivar,Cultivar.log.JPN,KG02,94,94,101,103,112,112,104,104,126,128,139,139,146,146,142,142,157,157,163,166,229,229,288,288,307,310,313,313
K26,Cultivar,Cultivar.log.JPN,KG02,94,94,101,103,112,112,104,104,126,128,139,139,146,146,142,142,157,157,163,166,229,229,288,288,307,310,313,313
CP06,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
K17,Cultivar,Cultivar.sawdust.JPN,CG5,88,88,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
