ID,Phmi01A,Phmi01B,Phmi02A,Phmi02B,Phmi03A,Phmi03B,Phmi05A,Phmi05B,Phmi07A,Phmi07B,Phmi08A,Phmi08B,Phmi09A,Phmi09B,Phmi10A,Phmi10B,Phmi13A,Phmi13B,Phmi14A,Phmi14B,Phmi17A,Phmi17B,Phmi20A,Phmi20B,Phmi23A,Phmi23B,Phmi24A,Phmi24B
109,088,088,101,103,109,112,104,106,135,159,135,139,146,146,142,142,154,157,160,160,213,218,284,284,307,310,313,317
105,088,088,101,107,106,106,104,104,122,135,135,141,148,148,142,145,151,154,154,160,221,221,286,288,307,307,313,313
189,088,088,105,105,106,106,104,104,125,125,139,139,148,148,142,142,157,157,154,154,213,213,284,284,307,307,313,313
190,088,088,101,101,106,106,104,104,128,128,135,135,150,150,142,142,154,154,160,160,218,218,284,284,313,313,315,315
204,088,088,103,103,109,109,104,104,134,134,135,135,146,146,142,142,151,151,163,163,231,231,282,282,286,286,311,311
205,088,088,101,103,109,109,104,106,128,134,135,139,146,146,142,142,151,151,154,163,218,231,282,286,307,307,311,311
209,088,088,101,103,109,109,104,106,128,134,135,139,146,146,142,142,151,151,154,163,218,231,282,286,307,307,311,311
210,088,088,101,103,109,109,104,106,128,134,135,139,146,146,142,142,151,151,154,163,218,231,282,286,307,307,311,311
211,088,088,101,103,109,109,104,106,128,134,135,139,146,146,142,142,151,151,154,163,218,231,282,286,307,307,311,311
F27,088,088,101,101,109,109,104,104,128,128,139,139,146,146,142,142,157,157,154,154,222,222,284,284,307,307,313,313
N104,088,088,101,101,109,109,104,104,128,128,139,139,146,146,142,142,157,157,154,154,222,222,284,284,307,307,313,313
N006,088,088,101,101,109,109,104,104,128,128,139,139,146,146,142,142,160,160,154,154,220,220,284,284,307,307,313,313
N007,088,088,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
N008,088,088,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
N009,088,088,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,166,220,220,284,284,307,310,313,313
N123,088,088,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
N127,088,088,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,166,220,222,284,284,307,310,313,313
007,088,088,101,101,109,109,104,104,128,128,139,139,146,146,142,142,157,157,154,154,222,222,284,284,307,307,313,313
008,088,088,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,166,220,222,284,284,307,310,313,313
CP01,088,088,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,166,220,220,284,284,307,310,313,313
CP02,088,088,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
CP03,088,088,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
CP04,088,088,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
CP05,088,088,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
CP06,088,088,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
CP07,088,088,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
CP08,088,088,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
CP09,088,088,101,101,109,109,104,104,128,128,139,141,146,146,142,142,160,160,154,154,220,222,284,284,307,307,313,313
CP10,088,088,101,101,109,109,104,104,128,128,139,141,146,146,142,142,157,160,154,154,222,222,284,284,307,307,313,313
